TN,TP,NP,H,RF,TLI
0.177508536,1,0.011390976,0.812239927,0.916513362,1
0.161747907,0.526443237,0.016809281,0.96580742,0.960997623,0.975936465
0.19004699,0.472194613,0.023290983,0.998354009,0.989989778,0.97194531
0.183757212,0.348444555,0.029565823,0.985414772,0.995040773,0.941455614
0.187008041,0.314350506,0.036016907,1,1,0.923321798
0.180339256,0.258772886,0.042772428,0.874200396,0.924677021,0.870843127
0.256504205,0.338492624,0.048946044,0.810857569,0.872665788,0.897733693
0.246971889,0.266056722,0.056950557,0.723252383,0.811346685,0.882033162
0.234053277,0.240269848,0.061541741,0.718888929,0.865739575,0.857834495
0.28678224,0.280497639,0.068996819,0.665431714,0.789965468,0.886285901
0.352932594,0.29065428,0.075661319,0.456539099,0.671462306,0.933056121
0.271212742,0.211172192,0.081471983,0.563098292,0.652368745,0.866006997
0.357294157,0.291191951,0.088513326,0.700770301,0.763533019,0.833213704
0.204873973,0.140478261,0.095463063,0.625492608,0.806535375,0.783071519
0.353623565,0.245538086,0.102449826,0.462487371,0.685880439,0.895968267
0.233925869,0.138720476,0.108070406,0.588276136,0.621558166,0.764744311
0.230486998,0.13850245,0.114536451,0.472096684,0.52933418,0.776106686
0.276279245,0.166984254,0.121970675,0.638134924,0.767786048,0.825482655
0.352949099,0.212093932,0.128486989,0.290308644,0.5247234,0.899498146
0.244728651,0.124853402,0.134395807,0.514011527,0.675646828,0.766384257
0.310373156,0.170118153,0.141094296,0.601512396,0.753457836,0.84200908
0.412803669,0.223674262,0.147097754,0.422075487,0.545996056,0.837499522
0.341962336,0.140938972,0.155268134,0.384821653,0.505940422,0.733940111
0.239990549,0.107383103,0.160728045,0.269045363,0.458428329,0.726618163
0.393877089,0.151573838,0.169143488,0.379096303,0.483850315,0.794751841
0.347060424,0.186596271,0.174959724,0.378126107,0.565193135,0.862274917
0.39111222,0.214249647,0.179635689,0.354913282,0.557463345,0.880941399
0.332730248,0.189843601,0.188698585,0.350500681,0.558952376,0.808477368
0.42754745,0.178642944,0.203560587,0.382365808,0.516336176,0.83241021
0.372463081,0.125001592,0.215736523,0.41002965,0.454956297,0.770179347
0.252394587,0.144856174,0.23036508,0.438970628,0.533027336,0.753458335
0.40014229,0.207623921,0.242197937,0.577186412,0.766302274,0.794796936
0.385862635,0.156570899,0.25695457,0.39873078,0.626331576,0.811694503
0.342237497,0.095112203,0.291861607,0.409499178,0.583767691,0.731704188
0.427697913,0.094276558,0.353396938,0.411271282,0.651118294,0.77258281
0.563314361,0.140947001,0.43375053,0.209492008,0.434871459,0.825935871
0.422331348,0.098343859,0.496749733,0.232730638,0.473943606,0.771361143
0.447724397,0.065437386,0.632229253,0.236777901,0.469659595,0.715857309
1,0.082070062,1,0.245963978,0.570364697,0.766570409
