TN,TP,NP,Elevation,Evap,H,RF,Tave,TLI
0,0.321218074,0,0,0.686344663,0.188889174,0.734311255,0.391048859,0.483295237
0.049310658,0.317681729,0.024765765,0.192307692,0.545775793,0.159511084,0.497668964,0.126578086,0.524580144
0.157449622,0.632780852,0.037602823,0.240928882,0.843702734,0.281135621,0.767022999,0,0.653660103
0.061640333,0.268861787,0.058303576,0.244637962,0.737156663,0.354505729,0.470506351,0.463568742,0.497485221
0.057879208,0.17851402,0.074657169,0.404450895,0.559261418,0.334740515,0.585961299,0.65614298,0.450860377
0.083493369,0.18826315,0.08656213,0.351677149,0.368023353,0.266568324,0.432052255,0.551501171,0.365883934
0.068059738,0.128933797,0.10397338,0.404318952,0.459756102,0.585029491,0.501283852,0.556682191,0.314229253
0.122702587,0.201329252,0.125224014,0.341777719,0.36805222,0.466450701,0.332987744,0.638958177,0.418659469
0.046248795,0.07394566,0.135614211,0.509313014,0.606087546,1,0.699649318,0.335920803,0.273405358
0.154736234,0.179410609,0.149900065,0.416545718,0.644145102,0.217885648,0.827889546,0.492021047,0.470088499
0.152330981,0.170288346,0.167588139,0.513196796,0.700807912,0.591615183,0.822488303,0.550752142,0.460224991
0.080818129,0.071316306,0.181483689,0.366908563,0.173611568,0.037818913,0.436097822,0.647807866,0.301767883
0.80661273,1,0.203382902,0.287131108,0.609327411,0.705675285,0.634733013,0.850510704,0.756450436
0.028291918,0.036470798,0.215239309,0.54591195,0.36937105,0.340543819,0.415051456,0.283082998,0.183784384
0.198090206,0.150425672,0.231389486,0.258345428,0.58605754,0.736229017,0.674700223,0.420548813,0.478791572
0.075012866,0.0526344,0.244256244,0.301886792,0.34659992,0.213227244,0.429542896,0.641168921,0.270649109
0.080659903,0.055468369,0.256682921,0.310208031,0.644514525,0.545225789,0.691494283,0.63308879,0.26005523
0.281594947,0.251265107,0.280586765,0.318497017,0.852671842,0.600614854,0.628416364,0.588272102,0.607562641
0.088865363,0.053246117,0.294306366,0.502781809,0.636822802,0.697363917,0.745063904,0.32822105,0.285147711
0.088288752,0.049115915,0.304738763,0.438558297,0.088560946,0.236563696,0.257890702,0.776249625,0.288990372
0.05803682,0.020137525,0.327123415,1,0.430777068,0.284118715,0.36561948,0.128933038,0.129319616
0.01277553,0.00589391,0.33887589,0.643928399,0,0.248907934,0,0.862949784,0.047926396
0.004643771,0,0.357426863,0.685534591,0.696341246,0.546019724,0.051698073,0.464949648,0
0.028515569,0.018544977,0.371778333,0.79841961,0.015574094,0,0.407658523,0.474425227,0.118277399
0.15632491,0.056224326,0.390339906,0.768456701,0.537036676,0.912783238,0.422903402,0.284973557,0.223675145
0.145442444,0.062153955,0.407627402,0.41715046,1,0.641107181,0.670211877,0.566234372,0.326708759
0.447659539,0.380157171,0.424062764,0.226415094,0.814313508,0.841844881,1,0.845319012,0.746311519
0.112167681,0.093998928,0.437357113,0.538864699,0.406538103,0.385238877,0.457202629,0.595918289,0.316100388
0.210583474,0.148096173,0.485658691,0.608127721,0.841718893,0.794462397,0.523296353,0.028778754,0.360862328
0.038813484,0.005492053,0.503664495,0.766811805,0.146420279,0.529623396,0.152870658,0.398400141,0.038856752
0.090570737,0.069089717,0.537463825,0.627479439,0.670436426,0.532170869,0.356321047,0.494587143,0.225481793
1,0.977406678,0.580565828,0.234155781,0.847058226,0.916232737,0.73842568,1,1
0.249607859,0.239685659,0.588378105,0.230285438,0.860361387,0.869234369,0.911512388,0.894029514,0.612878929
0.305011645,0.098886705,0.648688517,0.49588776,0.688487898,0.954294121,0.535096617,0.71737502,0.380302807
0.36202152,0.111329403,1,0.344621835,0.764545819,0.685300654,0.83352961,0.478053373,0.416092513
